sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
PA0191-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0192-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0193-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0194-C,1,1,0.72628,1,3,Ploidy2,West Africa,Guinea
PA0195-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0196-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0197-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0198-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0199-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0200-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0201-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0202-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0203-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0204-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0205-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0206-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0207-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0208-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0209-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0210-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0211-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0212-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0213-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0214-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0215-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0216-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0217-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0218-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0219-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0220-C,2,2,0.22415,2,3,Ploidy2,West Africa,Guinea
PA0221-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0222-C,4,4,0.37316,4,5,Ploidy2,West Africa,Guinea
PA0223-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0224-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0225-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0226-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0227-C,3,3,0.40095,2,3,Ploidy2,West Africa,Guinea
PA0228-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0229-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0230-C,4,4,0,4,4,Ploidy2,West Africa,Guinea
PA0231-C,5,5,0.11333,5,5,Ploidy2,West Africa,Guinea
PA0232-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0233-C,5,5,0,5,5,Ploidy2,West Africa,Guinea
PA0234-C,3,3,0.39011,3,4,Ploidy2,West Africa,Guinea
PA0235-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0236-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0237-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0238-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0239-C,5,5,0.44261,4,5,Ploidy2,West Africa,Guinea
PA0240-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0241-C,12,12,6.37174,1,22,Ploidy2,West Africa,Guinea
PA0242-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0243-C,4,4,0.03162,4,4,Ploidy2,West Africa,Guinea
PA0244-C,2,1,1.36307,1,6,Ploidy2,West Africa,Guinea
PA0245-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0246-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0247-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0248-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0249-C,4,4,0.1562,3.975,4,Ploidy2,West Africa,Guinea
PA0250-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0251-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0252-C,1,1,0.38235,1,2,Ploidy2,West Africa,Guinea
PA0253-C,4,4,0,4,4,Ploidy2,West Africa,Guinea
PA0254-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0255-C,4,4,0.03162,4,4,Ploidy2,West Africa,Guinea
PA0256-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0257-C,5,5,0.13302,5,5,Ploidy2,West Africa,Guinea
PA0258-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0259-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0260-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0261-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0262-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0263-C,3,3,0,3,3,Ploidy2,West Africa,Guinea
PA0264-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0265-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0266-C,2,2,0.0447,2,2,Ploidy2,West Africa,Guinea
PA0267-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0268-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0269-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0270-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0271-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0272-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0273-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0280-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0281-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0283-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0284-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0285-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0288-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0289-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0289-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0290-C,4,4,0.18387,4,5,Ploidy2,West Africa,Guinea
PA0291-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0292-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0293-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0294-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0295-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0297-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0298-C,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0299-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0300-C,3,3,0.48384,3,4,Ploidy2,West Africa,Guinea
PA0302-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0303-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0305-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0306-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0307-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0312-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0313-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0318-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0320-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0321-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0322-C,11,11,7.34254,1,23,Ploidy2,West Africa,Guinea
PA0325-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0327-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0328-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0329-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0330-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0331-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0332-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0334-CW,3,3,0.26513,2,3,Ploidy2,West Africa,Guinea
PA0335-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0337-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0339-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0340-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0341-C,2,2,0.43207,1,2,Ploidy2,West Africa,Guinea
PA0342-CW,3,3,0.49364,2,3,Ploidy2,West Africa,Guinea
PA0343-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0344-CW,3,3,0.10894,3,3,Ploidy2,West Africa,Guinea
PA0345-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0346-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0347-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0349-C,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0350-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0351-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0353-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0354-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0356-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0357-CW,2,2,0,2,2,Ploidy2,West Africa,Guinea
PA0358-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0362-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0363-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0364-CW,1,1,0.44971,1,2,Ploidy2,West Africa,Guinea
PA0369-CW,1,1,0,1,1,Ploidy2,West Africa,Guinea
PA0370-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0371-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0372-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0373-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0374-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0375-C,3,3,0,3,3,Ploidy2,West Africa,The Gambia
PA0376-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0377-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0378-C,3,3,0,3,3,Ploidy2,West Africa,The Gambia
PA0379-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0382-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0383-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
